customer_id,customer_name,gender,age,city,state,signup_date,customer_segment
100001,Amit Mishra,Female,41.0,Gurgaon,Haryana,2023-11-28,Regular
100002,Sanjay Roy,Female,31.0,Kolkata,West Bengal,2025-06-28,Premium
100003,Sneha Sharma,female,66.0,Indore,Madhya Pradesh,2021-08-02,New
100004,Nisha Jain,Female,35.0,Indore,Madhya Pradesh,2025-10-06,Regular
100005,Rohit Jain,Male,21.0,Kanpur,Uttar Pradesh,2024-11-15,Premium
100006,Amit Sharma,Male,59.0,Bengaluru,Karnataka,2022-11-18,VIP
100007,Kavita Kumar,Male,29.0,Ahmedabad,Gujarat,2022-03-16,Regular
100008,Anjali Sinha,Female,31.0,Noida,Uttar Pradesh,2025-10-10,Premium
100009,Pooja Reddy,Female,41.0,Indore,Madhya Pradesh,2023-11-01,Premium
100010,Sneha Jain,male,29.0,Delhi,Delhi,2023-04-24,Regular
100011,Simran Reddy,Female,32.0,Patna,Bihar,2024-05-25,Premium
100012,Amit Verma,male,36.0,Delhi,Delhi,2022-02-10,Premium
100013,Rahul Mishra,Female,60.0,Patna,Bihar,2024-10-20,Premium
100014,Simran Gupta,Male,48.0,Chandigarh,Chandigarh,2025-02-11,New
100015,Manish Malhotra,female,50.0,Gurgaon,Haryana,2021-03-20,Regular
100016,Priya Malhotra,Male,47.0,Surat,Gujarat,2021-08-08,Premium
100017,Manish Khan,male,19.0,Kolkata,West Bengal,2022-07-04,Premium
100018,Anjali Kumar,Female,62.0,Pune,Maharashtra,2022-06-23,Regular
100019,Rohit Das,Female,45.0,Kanpur,Uttar Pradesh,2021-04-22,New
100020,Rohit Sinha,Female,29.0,Surat,Gujarat,2024-02-25,Regular
100021,Nisha Mishra,Male,62.0,Nagpur,Maharashtra,2022-10-17,New
100022,Ayesha Malhotra,Male,67.0,Jaipur,Rajasthan,2024-02-19,Regular
100023,Priya Das,M,55.0,Chandigarh,Chandigarh,2024-07-20,Premium
100024,Neha Chauhan,Male,44.0,Chandigarh,Chandigarh,2024-09-17,Premium
100025,Neha Malhotra,Female,58.0,Jaipur,Rajasthan,2024-02-21,Regular
100026,Rohit Singh,Male,46.0,Kolkata,West Bengal,2024-11-06,Regular
100027,Karan Agarwal,Female,27.0,Lucknow,Uttar Pradesh,2025-05-08,Regular
100028,Amit Yadav,Male,32.0,Delhi,Delhi,2023-09-09,Regular
100029,Sneha Patel,Male,,Chandigarh,Chandigarh,2025-05-05,Regular
100030,Rahul Singh,Male,52.0,Mumbai,Maharashtra,2021-04-04,New
100031,Vikas Yadav,Male,37.0,Pune,Maharashtra,2021-02-28,Premium
100032,Simran Agarwal,Male,49.0,Gurgaon,Haryana,2022-10-15,Regular
100033,Manish Agarwal,male,54.0,Bengaluru,Karnataka,2023-08-07,Regular
100034,Priya Agarwal,Female,40.0,Jaipur,Rajasthan,2024-10-05,Regular
100035,Arjun Sinha,Female,31.0,Nagpur,Maharashtra,2022-05-04,Regular
100036,Priya Singh,female,67.0,Kanpur,Uttar Pradesh,2023-05-21,Regular
100037,Amit Patel,Male,69.0,Noida,Uttar Pradesh,2021-04-09,Regular
100038,Nisha Singh,Female,41.0,Mumbai,Maharashtra,2021-09-25,Premium
100039,Nisha Reddy,female,34.0,,Maharashtra,2021-05-03,Premium
100040,Neha Singh,Male,36.0,Jaipur,Rajasthan,2021-08-09,Regular
100041,Manish Mishra,Female,30.0,Kolkata,West Bengal,2024-10-16,Premium
100042,Arjun Roy,Male,37.0,Delhi,Delhi,2022-12-08,New
100043,Unknown,Female,56.0,Indore,Madhya Pradesh,2022-02-05,Premium
100044,Vivek Yadav,female,59.0,Bengaluru,Karnataka,2023-04-03,New
100045,Simran Mehta,Female,43.0,Chandigarh,Chandigarh,2024-04-29,Regular
100046,Vikas Yadav,Female,31.0,Chennai,Tamil Nadu,2021-10-17,Regular
100047,Karan Joshi,Male,50.0,Chennai,Tamil Nadu,2022-05-23,New
100048,Amit Mehta,female,51.0,Ahmedabad,Gujarat,2024-12-29,Regular
100049,Amit Singh,Female,41.0,Bhopal,Madhya Pradesh,2024-10-12,Regular
100050,Pooja Patel,Male,63.0,Patna,Bihar,2025-10-17,Premium
100051,Sneha Yadav,female,64.0,Delhi,Delhi,2023-12-31,Regular
100052,Manish Patel,Female,49.0,Patna,Bihar,2024-04-27,Regular
100053,Neha Singh,,27.0,Noida,Uttar Pradesh,2023-03-11,Regular
100054,Ayesha Jain,male,46.0,Pune,Maharashtra,2024-02-15,New
100055,Arjun Mehta,Female,55.0,Delhi,Delhi,2021-01-22,Premium
100056,Karan Joshi,Male,54.0,Gurgaon,Haryana,2023-10-11,Regular
100057,Simran Agarwal,Female,50.0,,Uttar Pradesh,2021-08-26,Premium
100058,Neha Mehta,female,59.0,Chandigarh,Chandigarh,2021-09-07,Regular
100059,Aditya Mishra,F,22.0,Delhi,Delhi,2021-08-09,New
100060,Vikas Sinha,Male,36.0,Bhopal,Madhya Pradesh,2023-07-14,Regular
100061,Priya Jain,Male,61.0,Chennai,Tamil Nadu,2025-09-12,Premium
100062,Karan Thakur,Female,54.0,Gurgaon,Haryana,2023-05-05,VIP
100063,Nisha Agarwal,Male,23.0,Bhopal,Madhya Pradesh,2022-04-02,Premium
100064,Neha Mishra,Male,60.0,Delhi,Delhi,2021-12-28,Premium
100065,Sanjay Gupta,Male,54.0,Kanpur,Uttar Pradesh,2022-12-11,Regular
100066,Sneha Singh,Female,20.0,Kanpur,Uttar Pradesh,2024-11-12,Regular
100067,Sneha Kumar,Male,23.0,Surat,Gujarat,2023-05-25,New
100068,Vivek Khan,F,18.0,Mumbai,Maharashtra,2023-12-21,Regular
100069,Ayesha Joshi,Male,39.0,Kanpur,Uttar Pradesh,2024-02-22,Regular
100070,Manish Malhotra,Female,66.0,Noida,Uttar Pradesh,2021-02-26,Regular
100071,Priya Gupta,Female,67.0,Bengaluru,Karnataka,2022-01-17,Regular
100072,Amit Sinha,Female,64.0,Bengaluru,Karnataka,2022-09-01,New
100073,Anjali Gupta,female,38.0,Bhopal,Madhya Pradesh,2021-06-24,Regular
100074,Aditya Das,Female,42.0,Patna,Bihar,2022-11-05,Regular
100075,Kavita Gupta,Female,64.0,Ahmedabad,Gujarat,2022-08-06,New
100076,Aditya Agarwal,Male,34.0,Surat,Gujarat,2025-11-07,New
100077,Vikas Singh,Female,23.0,Mumbai,Maharashtra,2022-02-09,Regular
100078,Anjali Mishra,Male,22.0,Gurgaon,Haryana,2025-06-07,New
100079,Neha Sharma,Female,30.0,Bengaluru,Karnataka,2021-07-22,Regular
100080,Manish Roy,male,29.0,Nagpur,Maharashtra,2025-02-11,Regular
100081,Neha Singh,Male,42.0,Noida,Uttar Pradesh,2025-04-21,Regular
100082,Priya Joshi,Female,29.0,Indore,Madhya Pradesh,2023-06-22,Regular
100083,Nisha Verma,Male,66.0,Nagpur,Maharashtra,2021-01-15,Premium
100084,Simran Jain,Female,57.0,Mumbai,Maharashtra,2023-01-22,New
100085,Karan Chauhan,Female,26.0,Kanpur,Uttar Pradesh,2024-11-11,New
100086,Pooja Patel,Female,64.0,Lucknow,Uttar Pradesh,2021-11-28,New
100087,Anjali Mehta,F,59.0,Mumbai,Maharashtra,2023-01-28,Regular
100088,Arjun Mehta,F,22.0,Gurgaon,Haryana,2021-07-15,Regular
100089,Aditya Chauhan,Male,65.0,,Madhya Pradesh,2024-04-02,Regular
100090,Simran Kumar,Male,60.0,Pune,Maharashtra,2022-12-21,VIP
100091,Sneha Sinha,Male,25.0,Kolkata,West Bengal,2021-08-10,Regular
100092,Nisha Sharma,Male,57.0,Noida,Uttar Pradesh,2023-08-26,Regular
100093,Rahul Singh,Female,50.0,Delhi,Delhi,2023-09-12,New
100094,Sanjay Chauhan,Female,61.0,Delhi,Delhi,2022-12-21,New
100095,Aditya Patel,F,39.0,Ahmedabad,Gujarat,2024-06-18,Premium
100096,Simran Patel,Male,23.0,Lucknow,Uttar Pradesh,2022-12-02,Regular
100097,Priya Yadav,Female,37.0,Surat,Gujarat,2022-07-11,New
100098,Neha Mishra,female,42.0,Chennai,Tamil Nadu,2021-01-20,Regular
100099,Vivek Gupta,Male,65.0,Gurgaon,Haryana,2022-05-02,Regular
100100,Aditya Gupta,Male,49.0,Pune,Maharashtra,2022-06-29,Regular
100101,Ayesha Verma,Female,38.0,Hyderabad,Telangana,2023-10-16,Regular
100102,Vivek Malhotra,Female,21.0,Nagpur,Maharashtra,2022-03-13,New
100103,Anjali Singh,Male,26.0,Kolkata,West Bengal,2021-08-14,Regular
100104,Arjun Reddy,Female,21.0,Kanpur,Uttar Pradesh,2023-02-14,Premium
100105,Kavita Roy,Female,62.0,Hyderabad,Telangana,2021-03-25,Regular
100106,Manish Joshi,Female,26.0,Jaipur,Rajasthan,2024-12-15,Regular
100107,Riya Kumar,,58.0,Delhi,Delhi,2021-04-23,Premium
100108,Arjun Das,Female,50.0,Patna,Bihar,2021-01-21,Premium
100109,Riya Roy,female,42.0,Delhi,Delhi ,2021-01-30,Regular
100110,Ayesha Roy,Female,50.0,Lucknow,Uttar Pradesh,2024-10-18,New
100111,Anjali Joshi,Male,65.0,Surat,Gujarat,2025-06-03,Premium
100112,Priya Joshi,Male,63.0,Patna,Bihar,2024-08-21,Premium
100113,Manish Reddy,Male,22.0,Bengaluru,Karnataka,2021-10-15,Premium
100114,Karan Reddy,,29.0,Surat,Gujarat,2025-03-24,Regular
100115,Priya Agarwal,Female,58.0,Ranchi,Jharkhand,2023-09-06,Regular
100116,Riya Khan,Female,22.0,Kolkata,West Bengal,2023-06-27,New
100117,Rahul Yadav,male,56.0,Hyderabad,Telangana,2021-01-03,Regular
100118,Ayesha Kumar,Male,24.0,Lucknow,Uttar Pradesh,2024-08-10,New
100119,Sanjay Kumar,Male,35.0,Delhi,Delhi,2024-10-09,Regular
100120,Aditya Kumar,female,33.0,Delhi,Delhi,2023-07-07,Regular
100121,Anjali Malhotra,Female,50.0,Kolkata,West Bengal,2021-09-25,New
100122,Arjun Roy,Male,57.0,Chandigarh,Delhi ,2022-11-25,New
100123,Manish Sharma,Male,32.0,Nagpur,Maharashtra,2023-06-29,Premium
100124,Simran Chauhan,Female,32.0,Jaipur,Rajasthan,2024-06-15,New
100125,Simran Mehta,Male,37.0,Nagpur,Maharashtra,2021-10-12,New
100126,Sanjay Kumar,Male,67.0,Indore,Madhya Pradesh,2021-04-04,Regular
100127,Ayesha Jain,Male,18.0,Bhopal,Madhya Pradesh,2025-06-03,New
100128,Neha Sinha,Male,55.0,Mumbai,Maharashtra,2025-06-24,Regular
100129,Aditya Yadav,Male,20.0,Indore,Madhya Pradesh,2021-11-18,New
100130,Ayesha Das,Female,39.0,Kanpur,Uttar Pradesh,2021-01-01,New
100131,Riya Verma,Female,40.0,Pune,Maharashtra,2024-08-09,Regular
100132,Neha Sinha,Male,43.0,Ranchi,Jharkhand,2022-08-29,Premium
100133,Anjali Agarwal,Female,68.0,Gurgaon,Haryana,2022-03-01,VIP
100134,Aditya Jain,Male,41.0,Indore,Madhya Pradesh,2025-08-18,Regular
100135,Anjali Chauhan,Male,34.0,Delhi,Delhi,2021-02-11,Regular
100136,Vikas Agarwal,Female,37.0,Chennai,Tamil Nadu,2023-07-10,Premium
100137,Amit Jain,Male,40.0,Lucknow,Uttar Pradesh,2022-01-17,Premium
100138,Aditya Mishra,Female,57.0,Pune,Maharashtra,2025-11-28,Regular
100139,Sneha Khan,Female,23.0,Pune,Maharashtra,2024-08-25,Regular
100140,Vikas Mehta,Male,61.0,,Maharashtra,2022-09-20,New
100141,Sneha Chauhan,male,23.0,Kanpur,Uttar Pradesh,2021-02-06,Regular
100142,Sneha Chauhan,F,49.0,Bhopal,Madhya Pradesh,2024-03-03,Regular
100143,Neha Agarwal,Male,30.0,Gurgaon,Haryana,2022-08-05,Regular
100144,Rohit Das,female,41.0,Nagpur,Maharashtra,2024-08-05,Premium
100145,Priya Reddy,Female,45.0,Indore,Madhya Pradesh,2023-10-21,Regular
100146,Arjun Gupta,Female,64.0,Kolkata,West Bengal,2023-02-08,New
100147,Neha Malhotra,Male,42.0,Kanpur,Uttar Pradesh,2021-10-11,Regular
100148,Aditya Sinha,male,21.0,Kolkata,West Bengal,2022-11-21,Premium
100149,Rahul Patel,M,29.0,Ahmedabad,Delhi ,2022-04-05,Premium
100150,Amit Roy,Female,61.0,Jaipur,Rajasthan,2025-04-11,New
100151,Vivek Khan,Female,34.0,Lucknow,Uttar Pradesh,2021-03-25,New
100152,Sanjay Agarwal,male,25.0,Indore,Madhya Pradesh,2023-02-02,Regular
100153,Pooja Roy,Male,69.0,Pune,Maharashtra,2021-03-24,New
100154,Manish Patel,Male,66.0,Indore,Madhya Pradesh,2025-01-15,New
100155,Vikas Roy,male,57.0,Kanpur,Uttar Pradesh,2021-02-06,Regular
100156,Riya Chauhan,Male,24.0,Chennai,Tamil Nadu,2022-06-08,Regular
100157,Vikas Mehta,Male,32.0,Ranchi,Jharkhand,2023-03-17,Premium
100158,Sanjay Sinha,Male,58.0,Indore,Madhya Pradesh,2021-10-01,New
100159,Sanjay Patel,Female,19.0,Noida,Uttar Pradesh,2024-11-10,New
100160,Simran Joshi,Male,64.0,Surat,Gujarat,2023-07-11,New
100161,Amit Malhotra,Female,21.0,Indore,Delhi ,2022-06-10,New
100162,Riya Thakur,Female,46.0,Indore,Madhya Pradesh,2024-08-16,Regular
100163,Sneha Gupta,Female,24.0,Nagpur,Maharashtra,2021-12-25,New
100164,Vikas Reddy,Female,22.0,Patna,Bihar,2025-04-25,Regular
100165,Manish Chauhan,Female,49.0,Surat,Gujarat,2022-07-26,New
100166,Amit Kumar,Male,41.0,Kanpur,Delhi ,2022-01-16,Regular
100167,Aditya Mishra,Male,53.0,Bhopal,Madhya Pradesh,2025-04-28,Regular
100168,Vikas Malhotra,Male,48.0,Indore,Madhya Pradesh,2022-11-02,New
100169,Neha Joshi,Female,57.0,Lucknow,Uttar Pradesh,2023-02-02,Regular
100170,Ayesha Gupta,female,66.0,Chandigarh,Chandigarh,2024-06-20,Regular
100171,Rahul Thakur,Female,37.0,Patna,Bihar,2021-10-14,Regular
100172,Manish Sharma,Male,69.0,Chandigarh,Chandigarh,2024-09-04,New
100173,Manish Sinha,F,35.0,Delhi,Delhi,2024-12-28,Premium
100174,Riya Thakur,female,65.0,Pune,Maharashtra,2024-01-20,Premium
100175,Rahul Singh,Female,54.0,Patna,Bihar,2024-07-22,Premium
100176,Arjun Agarwal,,48.0,Chandigarh,Chandigarh,2024-03-01,New
100177,Karan Khan,Male,51.0,Patna,Bihar,2022-07-11,Regular
100178,Kavita Roy,,19.0,Chennai,Tamil Nadu,2023-07-06,Regular
100179,Ayesha Patel,Male,56.0,Bhopal,Madhya Pradesh,2021-07-24,Premium
100180,Arjun Joshi,Male,28.0,Bhopal,Madhya Pradesh,2023-10-28,New
100181,Rahul Jain,,54.0,Jaipur,Rajasthan,2025-11-29,New
100182,Simran Yadav,male,22.0,Mumbai,Maharashtra,2021-09-25,Regular
100183,Anjali Sinha,Female,22.0,Kanpur,Uttar Pradesh,2024-01-18,New
100184,Nisha Singh,Female,18.0,Bhopal,Madhya Pradesh,2024-03-21,Regular
100185,Manish Mehta,Female,53.0,Lucknow,Uttar Pradesh,2025-04-02,Regular
100186,Manish Jain,male,42.0,Noida,Uttar Pradesh,2022-10-26,Premium
100187,Arjun Verma,Female,50.0,Ahmedabad,Gujarat,2024-10-22,Premium
100188,Simran Joshi,Female,59.0,Nagpur,Maharashtra,2021-06-21,Regular
100189,Pooja Chauhan,Male,34.0,Lucknow,Uttar Pradesh,2022-12-03,Regular
100190,Sanjay Mishra,Female,25.0,Chandigarh,Chandigarh,2021-02-10,VIP
100191,Nisha Das,Male,37.0,Surat,Gujarat,2025-07-01,Regular
100192,Simran Yadav,Male,44.0,Kanpur,Uttar Pradesh,2022-03-13,Regular
100193,Rohit Joshi,Female,19.0,Pune,Maharashtra,2025-09-04,New
100194,Ayesha Thakur,Male,57.0,Indore,Madhya Pradesh,2021-02-19,Regular
100195,Nisha Mehta,F,46.0,Mumbai,Maharashtra,2023-06-01,Regular
100196,Anjali Thakur,Male,69.0,Indore,Madhya Pradesh,2024-01-21,New
100197,Arjun Singh,Male,56.0,Indore,Madhya Pradesh,2025-11-08,Regular
100198,Sneha Verma,Female,19.0,Bhopal,Madhya Pradesh,2024-11-26,New
100199,Kavita Reddy,Female,46.0,Ranchi,Jharkhand,2024-12-15,Regular
100200,Rahul Kumar,Female,25.0,Kanpur,Uttar Pradesh,2023-05-19,Regular
100201,Simran Malhotra,Male,68.0,Jaipur,Rajasthan,2023-08-20,Regular
100202,Kavita Singh,Female,54.0,Ranchi,Jharkhand,2023-07-30,New
100203,Rohit Singh,Male,40.0,Chandigarh,Chandigarh,2024-04-17,Regular
100204,Kavita Singh,Male,25.0,Jaipur,Rajasthan,2024-08-10,Regular
100205,Aditya Yadav,Female,60.0,Jaipur,Rajasthan,2023-02-06,Premium
100206,Manish Sinha,Female,32.0,Gurgaon,Haryana,2021-06-15,VIP
100207,Nisha Patel,Male,18.0,Gurgaon,Haryana,2025-07-22,Regular
100208,Arjun Thakur,Male,31.0,Kolkata,West Bengal,2021-04-16,Premium
100209,Anjali Khan,Male,34.0,Kolkata,West Bengal,2025-12-30,Premium
100210,Anjali Khan,Male,35.0,Jaipur,Rajasthan,2022-01-21,Regular
100211,Pooja Yadav,Female,62.0,Pune,Maharashtra,2025-08-04,VIP
100212,Ayesha Singh,Male,28.0,Hyderabad,Telangana,2021-08-16,Regular
100213,Ayesha Chauhan,F,54.0,Ahmedabad,Gujarat,2023-02-01,Regular
100214,Sanjay Joshi,Female,57.0,Bengaluru,Karnataka,2025-09-04,Premium
100215,Kavita Das,Male,26.0,Patna,Bihar,2024-02-06,Regular
100216,Simran Khan,Female,41.0,Nagpur,Maharashtra,2025-02-24,VIP
100217,Amit Thakur,Male,39.0,Surat,Gujarat,2022-03-15,Regular
100218,Neha Malhotra,F,40.0,Hyderabad,Telangana,2025-06-23,New
100219,Anjali Sharma,Male,19.0,Chennai,Tamil Nadu,2024-10-25,Regular
100220,Rahul Sharma,Female,43.0,Nagpur,Maharashtra,2024-03-30,New
100221,Pooja Khan,Male,46.0,Patna,Bihar,2025-10-29,Premium
100222,Ayesha Gupta,Male,22.0,Bhopal,Madhya Pradesh,2024-10-31,Regular
100223,Manish Sinha,Male,,Indore,Madhya Pradesh,2024-01-14,Regular
100224,Vikas Khan,Female,59.0,Delhi,Delhi,2021-12-17,Premium
100225,Vikas Sinha,Female,63.0,Bengaluru,Karnataka,2024-11-23,Regular
100226,Amit Agarwal,Female,47.0,Bengaluru,Karnataka,2025-01-24,Regular
100227,Rohit Kumar,Male,49.0,Jaipur,Rajasthan,2021-03-22,Regular
100228,Ayesha Khan,Male,66.0,Ranchi,Jharkhand,2023-01-23,New
